DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,OPENINTEREST
2016-06-07,128.18,128.2,128.06,128.06,41617,94870
2016-06-08,128.12,128.33,128.09,128.28,56927,96666
2016-06-09,128.28,128.74,128.24,128.73,68287,99119
2016-06-10,128.67,128.89,128.65,128.73,45240,98109
2016-06-13,128.89,129.08,128.85,129.08,41398,97468
2016-06-14,129.07,129.12,128.84,128.85,59587,95621
2016-06-15,128.84,129.04,128.83,129.03,52939,94889
2016-06-16,129.31,129.48,129.28,129.48,51463,87046
2016-06-17,129.28,129.3,129.13,129.25,53885,57809
2016-06-20,128.94,128.97,128.78,128.78,31173,23963
2016-06-21,128.6,129.05,128.6,129.05,43163,100176
2016-06-22,128.91,128.93,128.74,128.81,41144,99572
2016-06-23,128.79,128.92,128.68,128.91,43097,98045
2016-06-24,129.01,130.8,128.8,130.26,106741,95189
2016-06-27,130.31,130.78,130.28,130.47,68364,93835
2016-06-28,130.8,130.84,130.29,130.43,78706,92634
2016-06-29,130.51,130.72,130.47,130.72,59497,90938
2016-06-30,130.46,130.76,130.42,130.63,62939,89558
2016-07-01,130.85,131.28,130.69,131.28,63792,89954
2016-07-04,131.25,131.37,131.11,131.22,46230,88970
2016-07-05,131.32,131.54,131.1,131.13,88467,91456
2016-07-06,131.48,131.76,131.42,131.63,85916,91326
2016-07-07,131.51,131.65,131.47,131.63,54360,91689
2016-07-08,131.57,131.77,131.44,131.53,66301,90873
2016-07-11,131.66,131.74,131.55,131.61,50004,91199
2016-07-12,131.41,131.5,131.36,131.5,59907,89567
2016-07-13,131.06,131.56,131.05,131.42,71888,89662
2016-07-14,131.56,131.92,131.45,131.64,81276,86770
2016-07-15,131.43,131.49,131.24,131.49,69180,86501
2016-07-18,131.22,131.3,131.15,131.23,48881,88397
2016-07-19,131.32,131.46,131.04,131.11,70910,89502
2016-07-20,131.15,131.23,131.01,131.2,57246,89629
2016-07-21,131.01,131.04,130.88,130.94,46039,89736
2016-07-22,131.12,131.2,131,131.2,44782,88689
2016-07-25,131.21,131.23,131.03,131.08,42783,90119
2016-07-26,131.05,131.42,131.03,131.26,65111,89219
2016-07-27,131.18,131.38,131.12,131.38,70149,88386
2016-07-28,131.74,131.89,131.67,131.89,35930,85112
2016-07-29,131.95,131.96,131.41,131.56,85301,82733
2016-08-01,131.76,131.86,131.72,131.76,37802,81815
2016-08-02,131.69,131.8,131.49,131.49,65501,81612
2016-08-03,131.31,131.33,131.01,131.07,64474,81827
2016-08-04,131.06,131.23,130.91,131.19,72919,78319
2016-08-05,131.45,131.56,131.38,131.45,46864,76595
2016-08-08,130.97,131.35,130.92,130.97,72020,78982
2016-08-09,131.02,131.13,130.96,131.13,47711,78708
2016-08-10,131.31,131.54,131.28,131.44,52862,77532
2016-08-11,131.6,131.64,131.28,131.38,56685,76398
2016-08-12,131.16,131.39,131.13,131.33,58011,78481
2016-08-16,131.34,131.46,131.28,131.46,41864,78082
2016-08-17,131.01,131.21,130.89,131.02,73619,79419
2016-08-18,131.16,131.28,131.15,131.19,47182,79416
2016-08-19,131.17,131.24,130.98,131.12,53257,79802
2016-08-22,130.96,131.01,130.91,130.95,43512,80418
2016-08-23,131.12,131.18,131.07,131.11,35911,79657
2016-08-24,131.16,131.23,131.11,131.11,34897,78940
2016-08-25,131.14,131.19,131,131.19,47722,78078
2016-08-26,131.17,131.2,131.01,131.2,43384,78320
2016-08-29,130.74,130.92,130.73,130.85,48865,79797
2016-08-30,131.06,131.1,130.65,130.65,66438,78474
2016-08-31,130.65,130.7,130.36,130.42,86368,76950
2016-09-01,130.42,130.55,129.9,129.92,82835,80727
2016-09-02,129.9,130.03,129.8,129.94,63858,80182
2016-09-05,130.01,130.17,129.92,130.17,48463,79298
2016-09-06,130.19,130.22,130.09,130.16,51932,78854
2016-09-07,130.54,130.78,130.5,130.69,56995,76803
2016-09-08,130.66,130.83,130.52,130.65,90276,76081
2016-09-09,130.31,130.43,129.93,130.08,91925,80056
2016-09-12,129.45,129.62,129.28,129.54,84884,80959
2016-09-13,129.68,129.85,129.4,129.52,88531,65906
2016-09-19,129.43,129.57,129.27,129.27,45406,25837
2016-09-20,129.32,129.5,129.19,129.5,64701,71795
2016-09-21,129.61,129.65,128.97,129.28,91051,72781
2016-09-22,129.76,130.11,129.72,130.11,72622,72591
2016-09-23,130.17,130.3,130.02,130.22,64314,69587
2016-09-26,130.22,130.54,130.19,130.41,56112,68913
2016-09-27,130.56,130.58,130.18,130.3,72605,69680
2016-09-28,130.49,130.75,130.47,130.61,66838,69986
2016-09-29,130.44,130.85,130.34,130.85,81262,71780
2016-09-30,130.85,131.49,130.78,131.17,104055,70147
2016-10-04,130.74,130.9,130.66,130.71,54674,69683
2016-10-05,130.11,130.3,130.04,130.04,86972,72683
2016-10-06,129.97,130.06,129.73,129.75,66971,76499
2016-10-07,129.77,129.96,129.67,129.91,68433,75328
2016-10-10,130.1,130.11,129.56,129.56,61467,74682
2016-10-11,129.36,129.36,128.84,128.92,102457,78414
2016-10-12,129.07,129.31,128.84,129.28,92450,75230
2016-10-13,129.34,129.98,129.32,129.76,102016,73521
2016-10-14,129.83,129.84,129.19,129.61,131638,74592
2016-10-17,129.15,129.2,128.76,128.76,73847,72158
2016-10-18,128.96,129.08,128.86,129.01,73993,72009
2016-10-19,129.36,129.39,128.9,128.99,70670,73776
2016-10-20,128.91,129.08,128.83,128.99,50969,73159
2016-10-21,128.9,129.3,128.71,128.71,97215,73879
2016-10-24,128.79,129.13,128.59,129.13,59979,74674
2016-10-25,128.96,128.98,128.63,128.76,66653,74384
2016-10-26,128.84,128.94,128.57,128.61,80191,71584
2016-10-27,128.27,128.58,128.21,128.42,62050,72250
2016-10-28,127.96,128.02,127.61,127.61,68824,73781
2016-10-31,127.96,128.25,127.64,128.19,71329,69573
2016-11-01,128.11,128.13,127.62,127.64,71324,70713
2016-11-02,127.79,128.27,127.77,128.16,74075,69618
2016-11-03,128.31,128.52,127.89,128.26,92895,69353
2016-11-04,128.12,128.27,127.94,127.94,63777,70627
2016-11-07,127.67,128.01,127.65,127.85,48905,70025
2016-11-08,127.94,128.22,127.86,127.96,71910,70154
2016-11-09,127.83,129.27,127.63,128.56,130683,70418
2016-11-10,126.96,127.03,126.53,126.57,92179,69420
2016-11-11,125.81,126.14,125.37,125.41,72042,73638
2016-11-14,125.11,125.42,123.66,123.66,104194,75379
2016-11-15,124.02,124.58,123.78,124.31,98626,75306
2016-11-16,124.26,124.62,123.38,123.38,67289,75676
2016-11-17,123.88,124.34,123.11,124.34,63455,75825
2016-11-18,123.46,123.84,123.13,123.54,57791,76009
2016-11-21,123.51,123.68,123.19,123.53,35785,75729
2016-11-22,123.88,124.23,123.26,123.31,53825,75503
2016-11-23,123.57,123.63,123.2,123.51,34236,76386
2016-11-24,123.31,123.31,122.69,122.84,34378,76130
2016-11-25,122.99,123.14,122.27,122.89,45053,75667
2016-11-28,123.31,123.38,122.89,123.38,31596,74982
2016-11-29,123.61,123.61,123.24,123.38,36926,75028
2016-11-30,123.61,123.82,123.2,123.33,37067,75126
2016-12-01,122.46,123.13,122.32,122.81,47011,76181
2016-12-02,122.2,122.29,122.01,122.21,36387,77682
2016-12-05,122.82,123.05,122.36,123.05,46155,76710
2016-12-06,122.67,123.45,122.67,122.76,49267,76359
2016-12-07,122.81,123.07,122.64,122.88,35162,77532
2016-12-08,123.14,123.31,123.04,123.28,26749,76825
2016-12-09,122.61,122.91,122.54,122.76,35382,76870
2016-12-12,122.28,122.39,122.01,122.28,33348,75482
2016-12-13,122.63,122.93,122.55,122.83,35165,71929
2016-12-14,122.85,123.61,122.84,123.56,36864,69516
2016-12-15,122.46,122.94,122.35,122.94,36386,67224
2016-12-16,122.75,123.27,122.7,123.27,41727,47476
2016-12-19,123.23,123.33,123.03,123.08,26045,22048
2016-12-20,123.52,123.79,123.02,123.02,55293,65768
2016-12-21,123.28,123.91,123.08,123.87,43968,64527
2016-12-22,124.07,124.07,123.5,123.89,34854,64383
2016-12-23,123.64,124.12,123.57,123.77,26335,65187
2016-12-26,123.81,123.91,123.64,123.78,14335,65023
2016-12-27,123.75,123.83,123.6,123.71,19281,63869
2016-12-28,123.64,124.2,123.62,124.11,17226,64006
2016-12-29,124.11,124.69,124.11,124.12,18293,64323
2017-01-02,124.13,124.57,124.13,124.49,25280,66370
2017-01-03,124.57,124.57,124.25,124.3,36640,64967
2017-01-04,124.31,124.43,123.94,124.02,43117,66733
2017-01-05,124.37,124.45,124.13,124.37,40696,66495
2017-01-06,124.87,124.88,123.97,123.97,44981,68183
2017-01-09,123.68,123.78,123.42,123.62,25724,69462
2017-01-10,123.9,124.04,123.7,123.94,41617,67664
2017-01-11,123.92,123.96,123.65,123.65,33805,68716
2017-01-12,123.9,124.47,123.89,124.47,44811,70700
2017-01-13,124.32,124.37,123.9,124.21,44478,68399
2017-01-16,123.95,124.02,123.74,123.89,39683,69007
2017-01-17,123.83,124.14,123.82,124.07,46289,69461
2017-01-18,124.3,124.3,123.77,123.78,54135,69845
2017-01-19,123.42,123.42,123.16,123.36,47776,69259
2017-01-20,123.22,123.78,123.13,123.78,59295,68090
2017-01-23,123.88,124.08,123.68,123.78,55252,69323
2017-01-24,124.06,124.17,123.96,124.06,46742,67968
2017-01-25,123.82,123.88,123.65,123.73,33472,68166
2017-01-26,123.37,123.37,122.99,123.11,51108,71104
2017-01-31,123.32,123.55,123.13,123.48,34683,70444
2017-02-01,123.48,123.57,123.2,123.31,38637,71558
2017-02-02,123.28,123.57,123.17,123.45,49857,71203
2017-02-03,123.48,123.49,123.17,123.22,40386,73842
2017-02-06,123.31,123.59,123.29,123.44,41276,73572
2017-02-07,123.57,123.93,123.57,123.6,58706,75284
2017-02-08,123.81,123.82,123.51,123.77,50124,76600
2017-02-09,124.1,124.15,123.64,123.64,51954,76170
2017-02-10,123.39,123.62,123.35,123.62,40900,75137
2017-02-13,123.5,123.63,123.47,123.52,29138,74470
2017-02-14,123.43,123.77,123.3,123.77,50032,75451
2017-02-15,123.47,123.57,123.4,123.57,43000,75571
2017-02-16,123.46,123.75,123.44,123.67,50465,77951
2017-02-17,123.79,123.85,123.65,123.71,38650,77443
