Date,Open,High,Low,Close,Volume,OpenInt
2014-04-02,107.73,107.73,107.48,107.56,32163,47744
2014-04-03,107.36,107.54,107.21,107.54,40250,47743
2014-04-04,107.53,107.59,107.47,107.54,15873,47414
2014-04-07,107.84,107.95,107.73,107.85,38728,46404
2014-04-08,107.9,107.97,107.73,107.75,29200,46622
2014-04-09,107.82,108.09,107.78,107.94,41785,46883
2014-04-10,108.09,108.14,107.61,107.8,55385,47766
2014-04-11,108,108.03,107.81,107.85,29703,48538
2014-04-14,107.9,107.95,107.75,107.8,29916,49175
2014-04-15,107.72,107.82,107.68,107.81,22243,49053
2014-04-16,107.88,107.9,107.64,107.71,28847,49872
2014-04-17,107.77,108.01,107.75,107.99,37115,48394
2014-04-18,107.75,107.87,107.68,107.79,38025,48242
2014-04-21,107.77,107.8,107.62,107.62,31748,49416
2014-04-22,107.59,107.73,107.57,107.73,23928,48536
2014-04-23,107.73,107.85,107.65,107.78,29980,49501
2014-04-24,107.78,107.81,107.71,107.81,20352,48286
2014-04-25,107.87,107.98,107.83,107.95,31672,48456
2014-04-28,107.98,108.01,107.87,107.97,26903,49411
2014-04-29,107.91,108.04,107.91,108,24268,49576
2014-04-30,107.98,108.07,107.96,107.97,25903,49041
2014-05-02,108.12,108.2,108.12,108.2,20668,50852
2014-05-07,108.16,108.59,108.16,108.59,35696,52885
2014-05-08,108.53,108.83,108.52,108.62,47264,52985
2014-05-09,108.7,108.97,108.66,108.97,55516,53015
2014-05-12,108.91,108.93,108.74,108.83,43270,51149
2014-05-13,108.74,108.9,108.66,108.68,43619,50894
2014-05-14,108.86,108.93,108.74,108.8,34474,52227
2014-05-15,109.13,109.55,109.11,109.4,68270,52606
2014-05-16,109.62,109.68,109.28,109.34,51792,51568
2014-05-19,109.3,109.49,109.23,109.48,55806,53486
2014-05-20,109.36,109.45,109.3,109.37,48686,52946
2014-05-21,109.49,109.59,109.4,109.4,31422,53437
2014-05-22,109.36,109.45,109.15,109.15,55844,52988
2014-05-23,109.18,109.4,109.18,109.4,37444,53600
2014-05-26,109.45,109.53,109.31,109.51,41577,52451
2014-05-27,109.51,109.69,109.49,109.52,47017,52113
2014-05-28,109.63,109.88,109.53,109.69,64927,51494
2014-05-29,110.05,110.09,109.87,109.99,63496,50772
2014-05-30,109.83,109.93,109.76,109.82,41902,50581
2014-06-02,109.74,109.76,109.61,109.62,48925,51537
2014-06-03,109.42,109.53,109.41,109.5,40804,51050
2014-06-05,109.26,109.45,109.2,109.45,40630,49648
2014-06-09,109.47,109.6,109.39,109.48,43860,50657
2014-06-10,109.5,109.89,109.5,109.89,52117,50269
2014-06-11,109.8,109.89,109.64,109.74,51434,48089
2014-06-12,109.8,110.18,109.67,110.09,65323,43624
2014-06-13,110.15,110.31,110.03,110.16,50571,30225
2014-06-16,110.08,110.23,110.05,110.15,34660,19926
2014-06-17,110.22,110.45,110.17,110.3,47981,39778
2014-06-18,110.15,110.38,110.15,110.3,43754,40635
2014-06-19,110.59,110.87,110.48,110.73,48896,39835
2014-06-20,110.73,111.1,110.64,111.1,49556,40693
2014-06-23,111.02,111.29,110.92,110.93,63928,44478
2014-06-24,110.96,111.16,110.89,111.11,56524,44612
2014-06-25,111.38,111.44,111.03,111.1,70805,46448
2014-06-26,111.15,111.24,110.9,111.23,70364,47297
2014-06-27,111.46,111.55,111.31,111.45,56972,46384
2014-06-30,111.5,111.65,111.39,111.55,37370,45783
2014-07-01,111.63,111.73,111.54,111.56,39224,47396
2014-07-02,111.56,112.49,111.56,112.35,68048,47339
2014-07-03,112.25,112.35,112.11,112.16,44293,44972
2014-07-04,112.3,112.44,111.99,111.99,50133,44787
2014-07-07,112,112.17,111.87,111.97,58455,48241
2014-07-08,112.1,112.18,111.62,111.7,57786,48215
2014-07-09,111.9,111.9,111.54,111.74,57075,48533
2014-07-10,111.77,112.55,111.58,112.4,58760,47780
2014-07-11,112.45,112.89,112.45,112.59,54336,47856
2014-07-14,112.74,112.76,112.46,112.47,43369,48416
2014-07-15,112.53,112.79,112.49,112.64,49468,48555
2014-07-16,112.85,112.95,112.8,112.95,43630,46795
2014-07-17,112.99,113.8,112.81,113.65,70829,44539
2014-07-18,113.69,113.75,113.45,113.45,38495,44334
2014-07-21,113.42,113.46,113.22,113.25,38386,45936
2014-07-22,113.31,113.47,113.25,113.28,34285,46637
2014-07-23,113.38,113.62,113.34,113.54,44663,47680
2014-07-24,113.63,113.77,113.05,113.09,58882,47002
2014-07-25,113.08,113.25,112.91,113.25,39651,47736
2014-07-28,113.27,113.37,113.06,113.06,35761,48985
2014-07-29,113.06,113.15,112.88,112.95,36337,49723
2014-07-30,113.24,113.26,112.73,112.92,46320,50182
2014-07-31,112.64,112.81,112.57,112.75,33260,51330
2014-08-01,112.84,112.86,112.24,112.24,52226,49609
2014-08-04,112.45,112.57,112.23,112.24,42937,51038
2014-08-05,112.3,112.66,112.28,112.65,41185,50992
2014-08-06,112.64,112.65,112.26,112.35,60999,49667
2014-08-07,112.48,112.64,112.42,112.45,50183,49969
2014-08-08,112.71,113.12,112.68,112.95,64604,51078
2014-08-11,112.79,112.89,112.71,112.85,33484,51478
2014-08-12,112.81,112.89,112.55,112.66,42331,49433
2014-08-13,112.65,112.99,112.54,112.55,50961,50123
2014-08-14,112.72,112.85,112.18,112.56,61998,49808
2014-08-18,112.79,112.83,112.27,112.27,51934,53553
2014-08-19,112.2,112.21,111.81,111.86,60624,53811
2014-08-20,111.87,112.06,111.71,111.9,45307,53344
2014-08-21,111.79,111.96,111.73,111.82,30407,53345
2014-08-22,111.9,111.9,111.76,111.87,21901,54293
2014-08-25,111.91,112.27,111.88,112.27,36702,54007
2014-08-26,112.34,112.73,112.34,112.68,43173,53752
2014-08-27,112.61,112.94,112.59,112.82,39573,55819
2014-08-28,113.01,113.07,112.73,112.73,52359,54997
2014-08-29,112.85,113.02,112.85,112.95,28543,56061
2014-09-01,112.93,113.21,112.87,112.89,36705,56223
2014-09-02,112.96,113.01,112.64,112.67,37485,55060
2014-09-03,112.28,112.44,112.23,112.33,41696,56081
2014-09-04,112.4,112.42,112.09,112.39,41940,55380
2014-09-05,112.25,112.83,112.13,112.66,44771,54717
2014-09-11,112.49,112.58,112.3,112.53,32924,53537
2014-09-12,112.51,113.22,112.45,113.21,48735,42440
2014-09-15,113.15,113.2,112.77,112.99,40052,22253
2014-09-16,113.06,113.54,112.96,112.99,49661,44544
2014-09-17,113.03,113.27,112.96,113.25,53417,45117
2014-09-18,113.25,113.51,113.08,113.37,46330,47744
2014-09-19,113.49,113.52,113.22,113.3,43660,46791
2014-09-22,113.57,113.73,113.48,113.7,36542,46704
2014-09-23,113.77,114,113.71,113.74,43904,46825
2014-09-24,113.85,114.05,113.67,113.84,41066,48782
2014-09-25,113.84,114.04,113.78,114.04,31404,49569
2014-09-26,114.29,114.38,114.12,114.35,42650,50195
2014-09-29,114.32,114.46,114.15,114.43,42282,51230
2014-09-30,114.49,114.96,114.49,114.96,44042,51316
2014-10-01,115.09,115.43,115.09,115.43,45736,48740
